CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2016 Score,Change in Yearly Score from 2015,Property Rights,Change in Property Rights from 2015,Freedom from Corruption,Change in Freedom from Corruption from 2015,Fiscal Freedom ,Change in Fiscal Freedom from 2015,Gov't Spending,Change in Gov't Spending from 2015,Business Freedom,Change in Business Freedom from 2015,Labor Freedom,Change in Labor Freedom from 2015,Monetary Freedom,Change in Monetary Freedom from 2015,Trade Freedom,Change in Trade Freedom from 2015,Investment Freedom ,Change in Investment Freedom from 2015,Financial Freedom,Change in Financial Freedom from 2015,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
161,Tajikistan,Tajikistan,Asia-Pacific,149,33,51.3,-1.4,20.0,0.0,23.0,1.0,91.6,-0.5,76.9,-5.0,61.1,-4.3,47.3,0.9,69.8,0.2,68.6,-6.0,25,0.0,30,0.0,5.7,13.0,15.0,21.0,27.7,Tajikistan,8.3,$22.3 ,6.7,7.1,"$2,688",10.9,6.1,262.7,28.2
162,Tanzania,Tanzania,Sub-Saharan Africa,110,17,58.5,1.0,25.0,-5.0,31.0,-2.0,79.2,-0.7,88.4,9.1,47.5,2.5,62.6,1.2,67.7,-2.0,73.2,6.2,60,0.0,50,0.0,8.4,30.0,30.0,16.8,19.7,Tanzania,47.7,$127.1 ,7.2,6.8,"$2,667",3.1,6.1,"2,141.6",33.2
163,Thailand,Thailand,Asia-Pacific,67,11,63.9,1.5,40.0,0.0,38.0,3.0,81.1,-0.4,82.2,0.8,76.3,3.8,62.5,-1.0,70.9,1.0,77.6,2.2,50,5.0,60,0.0,6.2,35.0,20.0,16.2,24.3,Thailand,68.7,$985.5 ,0.7,3.6,"$14,354",0.9,1.9,"12,565.7",47.2
164,Timor-Leste,TimorLeste,Asia-Pacific,167,40,45.8,0.3,20.0,0.0,28.0,-2.0,64.7,0.0,0.0,0.0,68,8.2,66.0,-6.0,70.9,2.2,80,0.4,40,0.0,20,0.0,2.5,10.0,10.0,318.1,110.5,Timor-Leste,1.2,$6.1 ,6.6,8.8,"$4,928",4.7,2.5,33.9,0
165,Togo,Togo,Sub-Saharan Africa,135,29,53.6,0.1,30.0,0.0,29.0,0.0,68.7,-1.0,80.4,2.3,51.4,-0.5,46.2,2.8,79.5,-0.9,71.2,3.4,50,0.0,30,0.0,9.4,45.0,27.0,19.5,25.5,Togo,7.0,$10.1 ,5.2,5.1,"$1,450",6.9,0.1,292.1,54.7
166,Tonga,Tonga,Asia-Pacific,95,18,59.6,0.3,25.0,5.0,28.6,0.0,86.9,-0.3,76.3,-2.7,76.4,2.3,86.1,-6.0,77.4,3.9,79.6,1.2,40,0.0,20,0.0,5.2,20.0,25.0,17.0,28.1,Tonga,0.1,$0.5 ,2.3,1.1,"$4,883",N/A,1.3,56.0,42.9
167,Trinidad and Tobago,TrinidadTobago,South and Central America / Caribbean,73,14,62.9,-1.2,50.0,0.0,38.0,0.0,79.4,0.4,62.3,-7.0,69.5,4.2,72.8,-3.8,68.5,-5.8,78.6,0.0,60,0.0,50,0.0,5.7,25.0,25.0,28.4,35.5,Trinidad and Tobago,1.4,$43.4 ,1.1,0.8,"$32,139",4.0,7.0,"2,423.0",37.6
168,Tunisia,Tunisia,Middle East / North Africa,114,11,57.6,-0.1,40.0,0.0,40.0,-1.0,74.0,-0.3,73.4,2.6,81.3,0.1,64.0,-5.1,75.6,0.8,62.2,1.0,35,0.0,30,0.0,13.9,35.0,30.0,21.7,29.8,Tunisia,11.0,$124.3 ,2.3,1.8,"$11,300",13.3,4.9,"1,060.3",47.5
169,Turkey,Turkey,Europe,79,34,62.1,-1.1,40.0,-5.0,45.0,-5.0,75.2,-0.9,55.6,-2.0,65.4,4.4,48.6,-1.6,71.5,-0.9,84.4,-0.2,75,0.0,60,0.0,2.8,35.0,20.0,29.3,38.5,Turkey,76.9,"$1,508.1 ",2.9,5.4,"$19,610",9.2,8.9,"12,146.0",33.5
170,Turkmenistan,Turkmenistan,Asia-Pacific,174,41,41.9,0.5,5.0,0.0,17.0,0.0,95.3,1.3,92.2,-1.3,30,0.0,20.0,0.0,69.4,5.2,80,0.0,0,0.0,10,0.0,0.0,10.0,8.0,17.4,16.1,Turkmenistan,5.8,$82.1 ,10.3,11.1,"$14,165",10.5,6.0,"3,163.5",16.8
171,Uganda,Uganda,Sub-Saharan Africa,102,13,59.3,-0.4,25.0,0.0,26.0,0.0,73.2,-0.1,91.5,2.5,40.3,-3.0,83.7,-3.8,80.1,3.8,72.8,-3.8,60,0.0,40,0.0,8.6,40.0,30.0,13.4,16.8,Uganda,38.0,$76.9 ,4.9,5.2,"$2,023",3.8,4.7,"1,146.6",30.4
